Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Azerbaijan,AZE,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..
Azerbaijan,AZE,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..
Azerbaijan,AZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Azerbaijan,AZE,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Azerbaijan,AZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Azerbaijan,AZE,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Azerbaijan,AZE,Control of Corruption: Estimate,CC.EST,-1.19547140598297
Azerbaijan,AZE,Government Effectiveness: Estimate,GE.EST,-0.0326422192156315
Azerbaijan,AZE,Rule of Law: Estimate,RL.EST,-0.566586077213287
Azerbaijan,AZE,Regulatory Quality: Estimate,RQ.EST,-0.108809567987919
"Bahamas, The",BHS,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..
"Bahamas, The",BHS,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..
"Bahamas, The",BHS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
"Bahamas, The",BHS,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
"Bahamas, The",BHS,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
"Bahamas, The",BHS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
"Bahamas, The",BHS,Control of Corruption: Estimate,CC.EST,1.26691007614136
"Bahamas, The",BHS,Government Effectiveness: Estimate,GE.EST,0.270353257656097
"Bahamas, The",BHS,Rule of Law: Estimate,RL.EST,0.179566532373428
"Bahamas, The",BHS,Regulatory Quality: Estimate,RQ.EST,0.00718375248834491
Bahrain,BHR,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..
Bahrain,BHR,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..
Bahrain,BHR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Bahrain,BHR,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Bahrain,BHR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Bahrain,BHR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Bahrain,BHR,Control of Corruption: Estimate,CC.EST,0.177784815430641
Bahrain,BHR,Government Effectiveness: Estimate,GE.EST,0.697198748588562
Bahrain,BHR,Rule of Law: Estimate,RL.EST,0.468770444393158
Bahrain,BHR,Regulatory Quality: Estimate,RQ.EST,1.07798528671265
Bangladesh,BGD,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..
Bangladesh,BGD,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..
Bangladesh,BGD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Bangladesh,BGD,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Bangladesh,BGD,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.5
Bangladesh,BGD,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Bangladesh,BGD,Control of Corruption: Estimate,CC.EST,-1.12086641788483
Bangladesh,BGD,Government Effectiveness: Estimate,GE.EST,-0.697334110736847
Bangladesh,BGD,Rule of Law: Estimate,RL.EST,-0.502657234668732
Bangladesh,BGD,Regulatory Quality: Estimate,RQ.EST,-0.914152979850769
Barbados,BRB,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..
Barbados,BRB,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..
Barbados,BRB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Barbados,BRB,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Barbados,BRB,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Barbados,BRB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Barbados,BRB,Control of Corruption: Estimate,CC.EST,1.34458589553833
Barbados,BRB,Government Effectiveness: Estimate,GE.EST,0.380443245172501
Barbados,BRB,Rule of Law: Estimate,RL.EST,0.414195388555527
Barbados,BRB,Regulatory Quality: Estimate,RQ.EST,0.503107726573944
Belarus,BLR,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..
Belarus,BLR,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..
Belarus,BLR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Belarus,BLR,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Belarus,BLR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Belarus,BLR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Belarus,BLR,Control of Corruption: Estimate,CC.EST,-0.665028035640717
Belarus,BLR,Government Effectiveness: Estimate,GE.EST,-0.991465747356415
Belarus,BLR,Rule of Law: Estimate,RL.EST,-1.25094270706177
Belarus,BLR,Regulatory Quality: Estimate,RQ.EST,-1.41953349113464
Belgium,BEL,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..
Belgium,BEL,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..
Belgium,BEL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Belgium,BEL,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Belgium,BEL,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Belgium,BEL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Belgium,BEL,Control of Corruption: Estimate,CC.EST,1.3368444442749
Belgium,BEL,Government Effectiveness: Estimate,GE.EST,1.03702199459076
Belgium,BEL,Rule of Law: Estimate,RL.EST,1.29537487030029
Belgium,BEL,Regulatory Quality: Estimate,RQ.EST,1.16822481155396
Belize,BLZ,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..
Belize,BLZ,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..
Belize,BLZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Belize,BLZ,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Belize,BLZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.6
Belize,BLZ,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Belize,BLZ,Control of Corruption: Estimate,CC.EST,-0.226113811135292
Belize,BLZ,Government Effectiveness: Estimate,GE.EST,-0.376311779022217
Belize,BLZ,Rule of Law: Estimate,RL.EST,-0.635611891746521
Belize,BLZ,Regulatory Quality: Estimate,RQ.EST,-0.430582851171494
Benin,BEN,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..
Benin,BEN,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..
Benin,BEN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Benin,BEN,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Benin,BEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,57
Benin,BEN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Benin,BEN,Control of Corruption: Estimate,CC.EST,-0.0495794489979744
Benin,BEN,Government Effectiveness: Estimate,GE.EST,-0.218984127044678
Benin,BEN,Rule of Law: Estimate,RL.EST,-0.505709648132324
Benin,BEN,Regulatory Quality: Estimate,RQ.EST,-0.295836299657822
Bhutan,BTN,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..
Bhutan,BTN,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..
Bhutan,BTN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Bhutan,BTN,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Bhutan,BTN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Bhutan,BTN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Bhutan,BTN,Control of Corruption: Estimate,CC.EST,1.53142273426056
Bhutan,BTN,Government Effectiveness: Estimate,GE.EST,0.566305339336395
Bhutan,BTN,Rule of Law: Estimate,RL.EST,0.667693257331848
Bhutan,BTN,Regulatory Quality: Estimate,RQ.EST,-0.401030838489532
Bolivia,BOL,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..
Bolivia,BOL,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..
Bolivia,BOL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Bolivia,BOL,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Bolivia,BOL,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.8
Bolivia,BOL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Bolivia,BOL,Control of Corruption: Estimate,CC.EST,-0.838301062583923
Bolivia,BOL,Government Effectiveness: Estimate,GE.EST,-0.639481067657471
Bolivia,BOL,Rule of Law: Estimate,RL.EST,-1.21933794021606
Bolivia,BOL,Regulatory Quality: Estimate,RQ.EST,-1.17711877822876
Bosnia and Herzegovina,BIH,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..
Bosnia and Herzegovina,BIH,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..
Bosnia and Herzegovina,BIH,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Bosnia and Herzegovina,BIH,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Bosnia and Herzegovina,BIH,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Bosnia and Herzegovina,BIH,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Bosnia and Herzegovina,BIH,Control of Corruption: Estimate,CC.EST,-0.581560015678406
Bosnia and Herzegovina,BIH,Government Effectiveness: Estimate,GE.EST,-0.967812538146973
Bosnia and Herzegovina,BIH,Rule of Law: Estimate,RL.EST,-0.351819545030594
Bosnia and Herzegovina,BIH,Regulatory Quality: Estimate,RQ.EST,-0.141291111707687
Botswana,BWA,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..
Botswana,BWA,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..
Botswana,BWA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Botswana,BWA,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Botswana,BWA,Access to electricity (% of population),EG.ELC.ACCS.ZS,76
Botswana,BWA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Botswana,BWA,Control of Corruption: Estimate,CC.EST,0.685792088508606
Botswana,BWA,Government Effectiveness: Estimate,GE.EST,0.430828422307968
Botswana,BWA,Rule of Law: Estimate,RL.EST,0.390436381101608
Botswana,BWA,Regulatory Quality: Estimate,RQ.EST,0.497434794902802
Brazil,BRA,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..
Brazil,BRA,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..
Brazil,BRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Brazil,BRA,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Brazil,BRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,99.8
Brazil,BRA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Brazil,BRA,Control of Corruption: Estimate,CC.EST,-0.503643155097961
Brazil,BRA,Government Effectiveness: Estimate,GE.EST,-0.546764314174652
Brazil,BRA,Rule of Law: Estimate,RL.EST,-0.308802843093872
Brazil,BRA,Regulatory Quality: Estimate,RQ.EST,-0.29647821187973
Brunei Darussalam,BRN,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..
Brunei Darussalam,BRN,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..
Brunei Darussalam,BRN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Brunei Darussalam,BRN,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Brunei Darussalam,BRN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Brunei Darussalam,BRN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Brunei Darussalam,BRN,Control of Corruption: Estimate,CC.EST,1.27803611755371
Brunei Darussalam,BRN,Government Effectiveness: Estimate,GE.EST,1.4017870426178
Brunei Darussalam,BRN,Rule of Law: Estimate,RL.EST,0.886853814125061
Brunei Darussalam,BRN,Regulatory Quality: Estimate,RQ.EST,0.97689163684845
Bulgaria,BGR,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..
Bulgaria,BGR,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..
Bulgaria,BGR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Bulgaria,BGR,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Bulgaria,BGR,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Bulgaria,BGR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Bulgaria,BGR,Control of Corruption: Estimate,CC.EST,-0.137721657752991
Bulgaria,BGR,Government Effectiveness: Estimate,GE.EST,0.047112051397562
Bulgaria,BGR,Rule of Law: Estimate,RL.EST,-0.00685768062248826
Bulgaria,BGR,Regulatory Quality: Estimate,RQ.EST,0.40789669752121
Burkina Faso,BFA,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..
Burkina Faso,BFA,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..
Burkina Faso,BFA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Burkina Faso,BFA,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Burkina Faso,BFA,Access to electricity (% of population),EG.ELC.ACCS.ZS,21.7
Burkina Faso,BFA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Burkina Faso,BFA,Control of Corruption: Estimate,CC.EST,-0.169615507125854
Burkina Faso,BFA,Government Effectiveness: Estimate,GE.EST,-0.826227486133575
Burkina Faso,BFA,Rule of Law: Estimate,RL.EST,-0.741778969764709
Burkina Faso,BFA,Regulatory Quality: Estimate,RQ.EST,-0.485633552074432
Burundi,BDI,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..
Burundi,BDI,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..
Burundi,BDI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Burundi,BDI,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Burundi,BDI,Access to electricity (% of population),EG.ELC.ACCS.ZS,11.6
Burundi,BDI,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Burundi,BDI,Control of Corruption: Estimate,CC.EST,-1.55602598190308
Burundi,BDI,Government Effectiveness: Estimate,GE.EST,-1.20011341571808
Burundi,BDI,Rule of Law: Estimate,RL.EST,-1.25105631351471
Burundi,BDI,Regulatory Quality: Estimate,RQ.EST,-0.985730171203613
Cabo Verde,CPV,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..
Cabo Verde,CPV,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..
Cabo Verde,CPV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Cabo Verde,CPV,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Cabo Verde,CPV,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.6
Cabo Verde,CPV,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Cabo Verde,CPV,Control of Corruption: Estimate,CC.EST,0.984857201576233
Cabo Verde,CPV,Government Effectiveness: Estimate,GE.EST,0.0136766647920012
Cabo Verde,CPV,Rule of Law: Estimate,RL.EST,0.400105774402618
Cabo Verde,CPV,Regulatory Quality: Estimate,RQ.EST,0.242902502417564
Cambodia,KHM,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..
Cambodia,KHM,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..
Cambodia,KHM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Cambodia,KHM,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Cambodia,KHM,Access to electricity (% of population),EG.ELC.ACCS.ZS,95
Cambodia,KHM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Cambodia,KHM,Control of Corruption: Estimate,CC.EST,-1.29921674728394
Cambodia,KHM,Government Effectiveness: Estimate,GE.EST,-0.305874288082123
Cambodia,KHM,Rule of Law: Estimate,RL.EST,-0.819127440452576
Cambodia,KHM,Regulatory Quality: Estimate,RQ.EST,-0.684618413448334
Cameroon,CMR,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..
Cameroon,CMR,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..
Cameroon,CMR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Cameroon,CMR,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Cameroon,CMR,Access to electricity (% of population),EG.ELC.ACCS.ZS,72
Cameroon,CMR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
Cameroon,CMR,Control of Corruption: Estimate,CC.EST,-1.16255974769592
Cameroon,CMR,Government Effectiveness: Estimate,GE.EST,-0.906262576580048
Cameroon,CMR,Rule of Law: Estimate,RL.EST,-1.03819787502289
Cameroon,CMR,Regulatory Quality: Estimate,RQ.EST,-0.913473010063171
Canada,CAN,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..
Canada,CAN,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..
Canada,CAN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..
Canada,CAN,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,..
Canada,CAN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100
Canada,CAN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..
